# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375977869263e-10       4.558913663167e-15       3.689856950978e-13       0.000000000000e+00       8.366685769411e-09       4.493036209172e-10      -1.932489251619e-12 
    3       1.302694374080e-10       6.255695287947e-15       4.246270557613e-13       0.000000000000e+00       5.127337439438e-09       3.184397576181e-10      -1.522873320473e-12 
    4       1.232276861564e-10       5.826273062064e-15       4.060797293822e-13       0.000000000000e+00       3.549085019788e-09       2.410636117809e-10      -1.053743380778e-12 
    5       1.178955204899e-10       4.201389066056e-15       3.533078231065e-13       0.000000000000e+00       2.640139333078e-09       1.903869534769e-10      -6.393301447422e-13 
    6       1.141865032483e-10       2.507974036977e-15       2.901274835009e-13       0.000000000000e+00       2.056719105536e-09       1.549117150095e-10      -3.150690330808e-13 
    7       1.117855537447e-10       1.366025866847e-15       2.309271171104e-13       0.000000000000e+00       1.655536692123e-09       1.288615313560e-10      -8.953419676953e-14 
    8       1.103084955479e-10       8.188989435722e-16       1.827951042601e-13       0.000000000000e+00       1.365629468218e-09       1.090628053406e-10       4.450817967719e-14 
    9       1.095822688419e-10       6.239080965573e-16       1.482320123199e-13       0.000000000000e+00       1.148079688975e-09       9.366124981064e-11       1.035888171696e-13 
   10       1.094307750063e-10       5.431658456015e-16       1.268451081920e-13       0.000000000000e+00       9.799590390916e-10       8.144228032567e-11       1.088424145413e-13 
   11       1.096560169808e-10       4.686118204743e-16       1.166245032070e-13       0.000000000000e+00       8.386475760562e-10       7.223855148408e-11       8.209206711959e-14 
   12       1.102378875002e-10       3.973878768491e-16       1.147713575899e-13       0.000000000000e+00       7.328769509523e-10       6.401060713972e-11       4.244331260822e-14 
   13       1.110586653543e-10       3.559166052574e-16       1.184018033211e-13       0.000000000000e+00       6.460359840052e-10       5.709980769054e-11       3.927919840281e-15 
   14       1.120639392398e-10       3.519010785544e-16       1.251127717332e-13       0.000000000000e+00       5.737772886459e-10       5.125857491956e-11      -2.464821267375e-14 
   15       1.132516302663e-10       3.723539072740e-16       1.331838747684e-13       0.000000000000e+00       5.129521940108e-10       4.631704814398e-11      -3.975559478386e-14 
