# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375982558488e-10       4.559145669612e-15       3.689856911316e-13       2.320064800383e-19       8.366685769411e-09       4.493036209172e-10      -1.932489251619e-12 
    3       1.302703729827e-10       6.256159453462e-15       4.246270380806e-13       4.641658539746e-19       5.127337439438e-09       3.184397576181e-10      -1.522873320473e-12 
    4       1.232292404639e-10       5.827047004572e-15       4.060796785586e-13       7.739441822530e-19       3.549085019788e-09       2.410636117809e-10      -1.053743380778e-12 
    5       1.178978427534e-10       4.202550590972e-15       3.533077072682e-13       1.161530685877e-18       2.640139333078e-09       1.903869534769e-10      -6.393301447422e-13 
    6       1.141897392593e-10       2.509601170938e-15       2.901272555935e-13       1.627149819099e-18       2.056719105536e-09       1.549117150095e-10      -3.150690330808e-13 
    7       1.117898453763e-10       1.368196883587e-15       2.309267123850e-13       2.171053982453e-18       1.655536692123e-09       1.288615313560e-10      -8.953419676953e-14 
    8       1.103139803644e-10       8.216923812042e-16       1.827944380218e-13       2.793515496418e-18       1.365629468218e-09       1.090628053406e-10       4.450817967719e-14 
    9       1.095890798117e-10       6.274027659292e-16       1.482309779624e-13       3.494818174903e-18       1.148079688975e-09       9.366124981064e-11       1.035888171696e-13 
   10       1.094390403226e-10       5.474408297737e-16       1.268435755348e-13       4.275248853728e-18       9.799590390916e-10       8.144228032567e-11       1.088424145413e-13 
   11       1.096658599880e-10       4.737464657605e-16       1.166223171457e-13       5.135089229928e-18       8.386475760562e-10       7.223855148408e-11       8.209206711959e-14 
   12       1.102494267236e-10       4.034617762110e-16       1.147683370614e-13       6.074608352877e-18       7.328769509523e-10       6.401060713972e-11       4.244331260822e-14 
   13       1.110720146251e-10       3.630095751536e-16       1.183977405797e-13       7.094056078555e-18       6.460359840052e-10       5.709980769054e-11       3.927919840281e-15 
   14       1.120792079046e-10       3.600931305787e-16       1.251074319271e-13       8.193657754996e-18       5.737772886459e-10       5.125857491956e-11      -2.464821267375e-14 
   15       1.132689234690e-10       3.817252160842e-16       1.331769958004e-13       9.373610351908e-18       5.129521940108e-10       4.631704814398e-11      -3.975559478386e-14 
   16       1.145786987304e-10       4.137646833499e-16       1.415096224676e-13       1.063408018292e-17       4.612315842513e-10       4.206536955190e-11      -4.224197537091e-14 
